t,x,y,z
1721196238525,0.025089177342690526,-0.11241992599964142,-0.03472527642250061
1721196238541,0.04539685602989048,-0.06882569894492625,0.006746588183380663
1721196238557,0.0432981667175889,-0.04341653240025043,0.03708323772549629
1721196238574,0.0047820466447621585,0.03804536075592041,-0.024973113214969634
1721196238592,0.06926664764545858,0.019881927555799483,-0.02208674412369728
1721196238608,0.04811776889376342,-0.03507306694686413,-0.021455460482835767
1721196238624,0.03736972651667893,-0.034625907701253886,0.032892252309061586
1721196238641,0.03696761198919266,0.011606851163506507,-0.04140749413277953
1721196238657,0.03664470017775893,0.10312836604118347,-0.035368268767464905
1721196238674,0.024856208837032316,0.13171908523142337,-0.029808241753838956
1721196238691,0.12076379331182688,-0.0287041164368391,0.014653963774442672
1721196238707,0.07001622390374541,-0.061174891930818556,0.0105178868830204
1721196238724,0.023668387291952968,-0.03603752806484699,-0.005928221005201339
1721196238741,0.019555289417319,0.006674655458331108,0.00040803281161934135
1721196238758,0.038277781272307035,0.035627778220176695,-0.011967464636825024
1721196238774,0.0006116656249389052,0.024687282010912893,-0.01768759584929794
1721196238791,-0.04384666744582355,0.08362111701667309,-0.013819266515970229
1721196238807,-0.020918577127158642,0.1243804129064083,-0.022364994809497146
1721196238824,0.015213716549053787,0.12030512629151344,0.020646482187509536
1721196238841,0.0182172822792083,0.1444271756350994,0.05906944408416748
1721196238858,0.0031963848885148763,0.14348375730514526,0.08042436680197715
1721196238874,0.020938670067116617,0.26271687045097347,0.04571194986104965
1721196238891,0.017649273132905364,0.31049861232340337,0.0627180205864366
1721196238908,0.025181203007698057,0.32762919534444807,0.11475335564957931
1721196238924,0.007224873219616711,0.2520370710045099,0.1060603369730059
1721196238941,-0.014463592301495373,0.23014438814818858,0.137209508474404
1721196238958,-0.04938121295832097,0.3169832981675863,0.1854582742035389
1721196238974,-0.05533391081765294,0.454621252053976,0.1298445235311985
1721196238992,0.002098835442773998,0.5176023166239261,0.07666939818263054
1721196239007,0.04237213791385293,0.3577303190976381,0.12837562002241612
1721196239024,0.011301657671853899,0.24278642757833002,0.15694237381517886
1721196239041,-0.051570064772106704,0.389694898635149,0.11690496245920658
1721196239058,-0.05024878957308829,0.9470289216667414,-0.08675002615954726
1721196239074,-0.015665405839309095,1.3240718439996242,-0.1692441849729046
1721196239091,0.026221323177777228,2.1331185283869503,-0.3625373540531844
1721196239107,0.07215235914960504,2.483064769479632,-0.29328729221634564
1721196239124,-0.009371018402837217,2.7874393459647893,-0.1876491353113204
1721196239141,-0.020147190895862876,2.789155502232909,-0.04789455459713936
1721196239158,-0.004975961781665683,1.9838170247137545,-0.10391454798281193
1721196239174,-0.1582381127141416,1.250622576907277,-0.2231973454892635
1721196239191,-0.28834673054162413,0.7808820816546678,-0.08191314405500888
1721196239207,-0.6758095958083867,-0.23942191958129405,0.12897066330611706
1721196239224,-0.6698954033285379,-0.729629448801279,0.34592180788218974
1721196239241,-0.2799079514876008,-1.5998597929477691,0.43314679460972544
1721196239257,-0.18333872476629912,-1.810671119594574,0.5127227278888226
1721196239274,-0.246378278057836,-1.3700398144483565,0.2857072854161262
1721196239292,-0.3386670509809628,-0.9817547826111316,0.008739186772704124
1721196239307,-0.24445998681373893,-0.521519197806716,-0.4215571868419647
1721196239324,0.06102236825022846,-1.0989409000992774,-0.2097738002926111
1721196239341,0.18380046052653343,-1.29067752391994,-0.03444295234978199
1721196239358,0.07517400852572173,-0.8532213416785002,-0.14270400510430334
1721196239373,0.026528343300335107,-0.43646600216031073,-0.26474106975495815
1721196239391,0.13959003780223428,0.3550549624085426,-0.9089192635029554
1721196239408,0.31823903384972363,0.31947686854898927,-0.9391244321525096
1721196239424,0.5274090595629066,-0.7070125433236361,-0.5426777211695909
1721196239441,0.485407179733552,-1.280591598713398,-0.21054946084022522
1721196239457,0.24670862425705417,-1.0206073680967092,0.14876725066602228
1721196239474,0.1394699550865218,0.14631284325122831,-0.20292846444249152
1721196239493,0.14937730885576456,0.521961096355319,-0.3073673285603523
1721196239507,0.08768210111157967,0.6963011796951294,-0.29459494074881076
1721196239524,0.015022066434472799,0.5594353792250156,-0.15268062471747398
1721196239541,-0.013724464371986687,0.19584931983649728,0.11828852577209471
1721196239558,-0.017319091330468654,0.13464286372363565,0.1838064153432846
1721196239574,-0.0009483411002438515,0.48809857424199576,-0.19612930582165716
1721196239591,-0.0022485278454609215,0.5620365016341209,-0.32057635422348973
1721196239607,0.12624855399900115,0.019796587359905242,-0.2777922745078802
1721196239624,0.16141535451076924,-1.0153273818671702,0.17232172925472258
1721196239640,0.08241636260310188,-0.8606324947178363,0.10492869346141814
1721196239657,-0.020555178041709584,-0.12853636354207992,-0.39305122332572934
1721196239674,-0.03280152583528543,0.051770519247651095,-0.44418578275740145
1721196239691,-0.07684037083536387,-0.3387608302116394,-0.35549218478202815
1721196239708,-0.013319542541127884,-0.6687199298083781,-0.1395253750681877
1721196239723,0.08664776222831569,-0.7838958765178918,-0.013771920242905616
1721196239741,0.11899221706204116,-0.5741501332759856,-0.05154664736390113
1721196239758,0.22882598075969143,-0.08975742781460284,-0.2406049918860197
1721196239774,0.27526984335817395,-0.4112175791352987,-0.1205938801050186
1721196239791,0.2659341519970447,-0.4879442604631185,-0.07920388509631157
1721196239807,0.2202923812953755,-0.24958792428672313,-0.13799918841421605
1721196239824,0.1902925259595737,-0.08940086946189403,-0.17667174115777015
1721196239841,0.21636066786963493,0.03069792060256004,-0.14971125351786613
1721196239857,0.1682097638912499,-0.029018589213490483,-0.12669628863334656
1721196239874,0.049286566077964375,-0.12459785504937171,0.0008697685718536376
1721196239891,0.011452299922611564,-0.1420703833758831,0.06763268976807595
1721196239908,-0.03999749947069212,0.01367021343410015,-0.014766776499152182
1721196239924,-0.05967391278333962,-0.043346389773488044,-0.09898936654031276
1721196239941,-0.04709366827672347,-0.10593991633057594,-0.09637480012774467
1721196239958,-0.06937266530320048,-0.23591069658994673,-0.08800327762365341
1721196239974,-0.06934566769842058,-0.33030162942409513,-0.012122983992099762
1721196239991,-0.020279694701731205,-0.39920916143357754,-0.09014496582746505
1721196240008,-0.005410170214157551,-0.3094055563896894,-0.07587444841265678
1721196240024,-0.06934924789499491,-0.22301497465968131,-0.15703122114241122
1721196240041,-0.05223002651818096,-0.23799802425801753,-0.12043079849779605
1721196240057,-0.024662439830601214,-0.2857061163723469,-0.16122165856957435
1721196240074,-0.042226719827484334,-0.25975626707971095,-0.13616378968060017
1721196240092,-0.028664770807139573,-0.1379746384948492,-0.10499415991306305
1721196240107,-0.010123517270572483,-0.19455752646028995,-0.05348959812521934
1721196240123,-0.004906842068210244,-0.1792442219942808,-0.025972645646333694
1721196240141,0.00231298965010792,-0.05839549034535885,0.023973580783605574
1721196240158,0.008815466879308223,0.04906301385462284,-0.011528525230288505
1721196240174,-0.028661208876874296,0.1742909835010767,-0.0336363121420145
1721196240192,0.0064750777656212444,0.15170505768358705,-0.01190086567401886
1721196240208,-0.03638108080551028,0.06334580622911452,-0.014637597161531447
1721196240224,-0.051380396552057936,-0.004206219518184662,0.014169395127892493
1721196240241,-0.03224299462009221,-0.15162205557525157,0.05699263781011104
1721196240257,-0.0443181939477101,-0.17847499118745325,0.10420388631820678
1721196240273,-0.03530062862504273,-0.10390051945745944,0.08269406529963017
1721196240291,0.005968041558936238,0.11265022762417792,-0.006028174248337745
1721196240307,0.034809027449507264,0.16507891851961612,-0.04722060085833072
1721196240324,0.09470065637044608,0.1527361542969942,-0.03007832739949226
1721196240341,0.07963064087470993,0.16920096688568592,0.0009819967746734618
1721196240357,0.041228977494407446,0.052176761960983274,0.049580315726995464
1721196240374,0.03412789505124092,-0.026902035450935363,0.009424830949306488
1721196240391,0.06309021489969455,-0.20015256998836992,0.037515783923864364
1721196240408,-0.010152304973639547,-0.35826457210481166,-0.0748936206817627
1721196240424,-0.04768422718155198,-0.2230769339799881,-0.17875380812883376
1721196240441,0.11159095522905699,-0.5228302804052829,-0.3520966971248388
1721196240458,0.1429394852274563,-0.9349263959407805,-0.4484223974138498
1721196240473,0.18840987228443845,-2.0435791272372006,-0.4592231928914785
1721196240492,0.15365648401230572,-2.360084871020913,-0.5128086526066065
1721196240507,0.15913571914099156,-2.3807167401611804,-0.6628513300359249
1721196240524,0.2956976778263226,-2.226571303588152,-0.8555284495770931
